Model,Accuracy,Precision,Recall,F1 Score
RandomForestClassifier,0.8324022346368715,0.7972972972972973,0.7972972972972973,0.7972972972972973
GradientBoostingClassifier,0.8044692737430168,0.7910447761194029,0.7162162162162162,0.75177304964539
LinearSVC,0.7877094972067039,0.7647058823529411,0.7027027027027027,0.7323943661971831
PolySVC,0.5977653631284916,0.75,0.04054054054054054,0.07692307692307693
RBFSVC,0.659217877094972,0.76,0.25675675675675674,0.3838383838383838
SigmoidSVC,0.6089385474860335,0.5285714285714286,0.5,0.5138888888888888
LogisticRegression,0.8044692737430168,0.782608695652174,0.7297297297297297,0.7552447552447552
KNeighborsClassifier,0.7597765363128491,0.7246376811594203,0.6756756756756757,0.6993006993006993
DecisionTreeClassifier,0.8156424581005587,0.759493670886076,0.8108108108108109,0.7843137254901961
LinearDiscriminantAnalysis,0.7932960893854749,0.7761194029850746,0.7027027027027027,0.7375886524822695
